measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,1,Menores de 5 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2023,0.0,0.0,0.0
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2020,210.85047241112568,621.4610405965282,53.80830629310292
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2020,188.22912358885264,551.1811024893657,42.4210668149519
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2020,399.0795959999783,1113.1583314146424,103.3231210570416
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2020,0.0106401782396522,0.0211724089844308,0.0037582881377638
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2020,0.0082376812784317,0.017757554343132,0.0023569231965303
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2020,0.0093509992569185,0.019360337763929,0.0029907517902552
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2020,3.73321699047,11.00329010003,0.9527039754000001
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2020,3.42569454819,10.03127497946,0.7720464003999999
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2020,3.5815716339200003,9.990128144389999,0.92728158296
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2021,201.1856985302049,567.7303822189904,49.76443602873796
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2021,181.30254772413664,534.324146311924,38.47052282754213
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2021,382.4882462543412,1101.2127045168795,93.30611438007055
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2021,0.0103485228455663,0.0204662189483565,0.0036192874742983
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2021,0.0080592890702754,0.0170717042057663,0.0022894373518127
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2021,0.0091201409790548,0.0184195260771645,0.0029605368150397
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2021,3.6303964405299998,10.24469618789,0.89799937443
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2021,3.3613418871499996,9.90634801804,0.71324193413
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2021,3.49768917963,10.07011273883,0.8532439620200001
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2022,190.8209421754114,559.1502819621211,48.84235248652989
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2022,174.6815351661636,500.63259315056615,39.63039513914247
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2022,365.5024773415751,1054.377780906716,94.21118790072735
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2022,0.0102972253956522,0.0203461157425756,0.0036660822626393
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2022,0.008298998558186,0.0171234960659545,0.0024207579851605
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2022,0.0092328652326582,0.0175430949072831,0.0032194871548759
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2022,3.5252291145,10.32975118393,0.90231439507
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2022,3.3144685635599997,9.49917797729,0.75196098274
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2022,3.4212567865700003,9.86941912068,0.88185631003
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2023,186.42913466146967,522.9152804220986,44.08547630958371
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2023,170.82716889359332,486.0509038237445,40.403345702751245
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2023,357.25630355506297,1035.5248171512933,92.91319502102644
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2023,0.0086772840059925,0.0168888786772165,0.0031218546119504
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2023,0.0071600005564785,0.0151634602636693,0.0021129591541309
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2023,0.0078780523402471,0.0156737673339476,0.0027584177543219
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2023,3.5391751500599997,9.92703618679,0.83691973637
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2023,3.3302035813799997,9.47535729318,0.78764617731
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,6,5-9 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2023,3.43607573762,9.95963308276,0.8936351071699999
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2020,3757.68852565979,8632.16634786863,1298.3483644340674
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2020,4373.787306571602,10688.863931598196,1393.2397766430076
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2020,8131.475832231392,19303.449324487938,2793.8738770987416
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2020,0.1406474591487345,0.2435905866134939,0.0642659916940984
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2020,0.1096788791683972,0.2014388672042532,0.0443456049984258
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,2,Porcentaje,2020,0.1221206894134471,0.2173712782430489,0.0548495352431542
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2020,65.56206432915,150.60924862034,22.65286183498
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2020,78.45476025923,191.73137567461,24.99122270896
2,AVISA (Años de Vida Saludable Perdidos),130,México,3,Ambos,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,3,Tasa,2020,71.91913725797001,170.73006796839,24.71052032794
2,AVISA (Años de Vida Saludable Perdidos),130,México,1,Hombre,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2021,3715.327195446543,8278.768756236506,1293.9391563324086
2,AVISA (Años de Vida Saludable Perdidos),130,México,2,Mujer,7,10-14 años,571,Trastorno de ansiedad,169,Todos los factores de riesgo,1,Número,2021,4316.675981101606,10684.91449349076,1365.3314715861684
